Symbol,Date,ShortVolume,ShortExemptVolume,TotalVolume,Market,Open,Close,Previous day's close change,Short Interest Ratio,Previous short delta,Previous volume delta,Open/Close change
DVAX,20201020,818725.0,1609.0,3123498.0,B/Q/N,4.3,4.14,-0.028169,0.26211798438801626,-0.005255798964919456,515819.0,-0.03720930232558143
DVN,20201020,1116857.0,7423.0,10046678.0,B/Q/N,8.92,8.97,0.012415,0.11116679563135197,0.016522184107462326,1103760.0,0.005605381165919362
DXF,20201020,1060528.0,18338.0,3247385.0,B/Q/N,1.37,1.95,0.266234,0.3265790782429555,0.0003537921601252103,-8782173.0,0.4233576642335765
EBAY,20201020,415496.0,35.0,6407653.0,B/Q/N,54.42,54.2,-0.002209,0.06484371110607894,-0.05243477678073871,-313537.0,-0.004042631385520009
EBC,20201020,619623.0,2619.0,2929417.0,B/Q/N,11.9,11.88,-0.000841,0.21151751355303802,-0.0393124400613282,-2954948.0,-0.0016806722689075271
EEM,20201020,6906944.0,4812.0,51631318.0,B/Q/N,45.71,45.93,0.011006,0.13377431116517305,0.05986487262001841,20761783.0,0.004812951214176304
EFA,20201020,1188053.0,1762.0,23268034.0,B/Q/N,64.97,64.82,0.004961,0.05105944919970463,-0.013132975458615116,8531669.0,-0.002308757888256206
ELAN,20201020,932305.0,895.0,2675657.0,B/Q/N,31.05,31.21,0.009706,0.3484396542606171,0.3484396542606171,2675657.0,0.005152979066022549
EMAN,20201020,685343.0,16748.0,1718895.0,B/Q/N,1.31,1.42,0.083969,0.3987113814398203,0.3987113814398203,1718895.0,0.08396946564885487
EMB,20201020,867972.0,105.0,3683672.0,B/Q/N,111.63,111.54,0.000538,0.23562684191209207,0.030314101803798593,42086.0,-0.0008062348830958452
ENDP,20201020,1135288.0,400.0,5936317.0,B/Q/N,5.7,5.8,0.028369,0.19124450395758852,0.015502204678148418,-4244516.0,0.017543859649122744
ENG,20201020,808018.0,32962.0,1985597.0,Q/N,0.9088,0.9156,0.015641000000000002,0.4069395753518967,0.4069395753518967,1985597.0,0.007482394366197092
ENPH,20201020,779980.0,5711.0,2898559.0,B/Q/N,114.88,116.14,0.012643,0.26909233174139285,-0.01148508916877694,-405374.0,0.0109679665738162
ENSV,20201020,723812.0,13659.0,2165349.0,B/Q/N,0.1501,0.1449,0.0,0.3342703647310434,0.005922001138643773,-2913184.0,-0.034643570952698266
EOG,20201020,607315.0,4302.0,6118889.0,B/Q/N,36.48,36.28,0.002487,0.09925249501992928,0.003947475272510034,-2259421.0,-0.005482456140350761
EPD,20201020,1132445.0,4083.0,6341219.0,B/Q/N,17.29,17.17,0.0029210000000000004,0.17858474845293942,-0.011378614056250569,-1501567.0,-0.0069404279930594245
