Date,Symbol,ShortVolume,ShortExemptVolume,TotalVolume,Market
20200918,ASBpD,845,0,1444,Q/N
20200918,ASBpE,174,0,264,Q/N
20200918,ASBpF,1142,0,4215,Q/N
20200918,ASC,17519,100,60770,B/Q/N
20200918,ASEA,11755,0,12480,Q/N
20200918,ASFI,338,0,382,Q
20200918,ASG,91532,6200,148916,B/Q/N
20200918,ASGI,600,0,14710,Q
20200918,ASGN,42052,0,58873,Q/N
20200918,ASH,51271,0,78324,Q/N
20200918,ASHR,190184,0,304525,Q/N
20200918,ASHS,837,0,1940,Q/N
20200918,ASHX,499,0,500,Q
20200918,ASIX,36653,10,58887,Q/N
20200918,ASLN,7456,0,12317,Q/N
20200918,ASM,124365,1483,395747,B/Q/N
20200918,ASMB,62044,0,173312,Q/N
20200918,ASML,53655,0,155013,B/Q/N
20200918,ASND,13237,0,33173,Q/N
20200918,ASPN,34258,0,64508,Q/N
20200918,ASPS,7667,594,20241,Q/N
20200918,ASPU,12247,2400,33085,B/Q/N
20200918,ASR,20761,601,23108,B/Q/N
20200918,ASRT,149491,3354,265372,Q/N
20200918,ASRV,5677,0,8739,B/Q/N
20200918,ASTC,67076,1600,129772,Q/N
20200918,ASTE,17564,0,27620,B/Q/N
20200918,ASUR,3997,17,40596,Q/N
20200918,ASX,64349,0,117866,B/Q/N
20200918,ASYS,1383,0,4735,Q/N
20200918,AT,66092,0,141392,B/Q/N
20200918,ATAX,38613,0,58404,Q/N
20200918,ATCO,26111,1157,54288,B/Q/N
20200918,ATCOpD,1412,69,1969,Q/N
20200918,ATCOpE,282,0,582,Q
20200918,ATCOpG,5100,0,6250,Q
20200918,ATCOpH,2829,0,3379,Q/N
20200918,ATCOpI,2950,0,5664,Q/N
20200918,ATCX,14,0,415,Q
20200918,ATEC,34133,0,263539,B/Q/N
20200918,ATEN,67251,458,431444,B/Q/N
20200918,ATEX,30768,633,73057,B/Q/N
20200918,ATGE,54819,255,136585,B/Q/N
20200918,ATH,64625,0,218457,Q/N
20200918,ATHA,367764,0,997400,B/Q/N
20200918,ATHE,29717,0,79258,Q/N
20200918,ATHM,90035,0,162030,B/Q/N
20200918,ATHX,293576,1000,484341,B/Q/N
20200918,ATHpA,6286,0,12599,Q/N
20200918,ATHpB,12281,2114,27232,Q/N
20200918,ATHpC,8356,0,8796,Q
20200918,ATI,765257,411,1070226,B/Q/N
20200918,ATIF,78149,0,193611,Q/N
20200918,ATKR,25819,219,45653,Q/N
20200918,ATLC,1012,0,3975,Q/N
20200918,ATLO,3632,0,10776,Q/N
20200918,ATMP,38832,0,44888,Q
20200918,ATNI,21526,0,23175,Q/N
20200918,ATNM,101710,3713,175584,B/Q/N
20200918,ATNX,39088,0,196133,Q/N
20200918,ATO,123736,12,293923,Q/N
20200918,ATOM,50428,0,131319,Q/N
20200918,ATOS,105144,1295,244621,B/Q/N
20200918,ATR,25458,2297,40743,Q/N
20200918,ATRA,94358,0,549642,B/Q/N
20200918,ATRC,46175,0,78133,Q/N
20200918,ATRI,263,0,1066,Q/N
20200918,ATRO,38374,0,67859,B/Q/N
20200918,ATRS,87528,400,274495,B/Q/N
20200918,ATSG,56300,0,89083,Q/N
20200918,ATTO,3574,0,10513,B/Q/N
20200918,ATUS,409739,0,1846700,Q/N
20200918,ATV,253,0,541,Q
20200918,ATVI,275792,12750,1286671,B/Q/N
20200918,ATXI,10695,0,21070,Q/N
20200918,AU,271676,935,670752,B/Q/N
20200918,AUB,23339,91,48161,Q/N
20200918,AUBAP,3803,0,10555,Q
20200918,AUBN,27,0,302,Q/N
20200918,AUDC,40439,0,101454,B/Q/N
20200918,AUG,36060,0,83966,Q/N
20200918,AUGZ,100,0,100,Q
20200918,AUMN,380669,1500,608846,B/Q/N
20200918,AUPH,161486,100,507303,B/Q/N
20200918,AUTL,5596,200,11290,B/Q/N
20200918,AUTO,63789,600,128810,B/Q/N
20200918,AUVI,20332,0,76464,B/Q/N
20200918,AUY,1484513,6939,3627988,B/Q/N
20200918,AVA,57559,0,119366,B/Q/N
20200918,AVAL,13622,0,381433,Q/N
